Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Family_Size,is_alone,Age_x_Pclass,FarePerPerson,AgeGroup
0,3,1,22.0,1,0,7.25,0.0,2,0,66.0,3.625,2
1,1,0,38.0,1,0,71.2833,1.0,2,0,38.0,35.64165,3
1,3,0,26.0,0,0,7.925,0.0,1,1,78.0,7.925,2
1,1,0,35.0,1,0,53.1,0.0,2,0,35.0,26.55,2
0,3,1,35.0,0,0,8.05,0.0,1,1,105.0,8.05,2
0,3,1,28.0,0,0,8.4583,2.0,1,1,84.0,8.4583,2
0,1,1,54.0,0,0,51.8625,0.0,1,1,54.0,51.8625,3
0,3,1,2.0,3,1,21.075,0.0,5,0,6.0,4.215,0
1,3,0,27.0,0,2,11.1333,0.0,3,0,81.0,3.7111,2
1,2,0,14.0,1,0,30.0708,1.0,2,0,28.0,15.0354,1
1,3,0,4.0,1,1,16.7,0.0,3,0,12.0,5.566666666666666,0
1,1,0,58.0,0,0,26.55,0.0,1,1,58.0,26.55,3
0,3,1,20.0,0,0,8.05,0.0,1,1,60.0,8.05,2
0,3,1,39.0,1,5,31.275,0.0,7,0,117.0,4.4678571428571425,3
0,3,0,14.0,0,0,7.8542,0.0,1,1,42.0,7.8542,1
1,2,0,55.0,0,0,16.0,0.0,1,1,110.0,16.0,3
0,3,1,2.0,4,1,29.125,2.0,6,0,6.0,4.854166666666667,0
1,2,1,28.0,0,0,13.0,0.0,1,1,56.0,13.0,2
0,3,0,31.0,1,0,18.0,0.0,2,0,93.0,9.0,2
1,3,0,28.0,0,0,7.225,1.0,1,1,84.0,7.225,2
0,2,1,35.0,0,0,26.0,0.0,1,1,70.0,26.0,2
1,2,1,34.0,0,0,13.0,0.0,1,1,68.0,13.0,2
1,3,0,15.0,0,0,8.0292,2.0,1,1,45.0,8.0292,1
1,1,1,28.0,0,0,35.5,0.0,1,1,28.0,35.5,2
0,3,0,8.0,3,1,21.075,0.0,5,0,24.0,4.215,0
1,3,0,38.0,1,5,31.3875,0.0,7,0,114.0,4.483928571428572,3
0,3,1,28.0,0,0,7.225,1.0,1,1,84.0,7.225,2
0,1,1,19.0,3,2,263.0,0.0,6,0,19.0,43.833333333333336,2
1,3,0,28.0,0,0,7.8792,2.0,1,1,84.0,7.8792,2
0,3,1,28.0,0,0,7.8958,0.0,1,1,84.0,7.8958,2
0,1,1,40.0,0,0,27.7208,1.0,1,1,40.0,27.7208,3
1,1,0,28.0,1,0,146.5208,1.0,2,0,28.0,73.2604,2
1,3,0,28.0,0,0,7.75,2.0,1,1,84.0,7.75,2
0,2,1,66.0,0,0,10.5,0.0,1,1,132.0,10.5,4
0,1,1,28.0,1,0,82.1708,1.0,2,0,28.0,41.0854,2
0,1,1,42.0,1,0,52.0,0.0,2,0,42.0,26.0,3
1,3,1,28.0,0,0,7.2292,1.0,1,1,84.0,7.2292,2
0,3,1,21.0,0,0,8.05,0.0,1,1,63.0,8.05,2
0,3,0,18.0,2,0,18.0,0.0,3,0,54.0,6.0,1
1,3,0,14.0,1,0,11.2417,1.0,2,0,42.0,5.62085,1
0,3,0,40.0,1,0,9.475,0.0,2,0,120.0,4.7375,3
0,2,0,27.0,1,0,21.0,0.0,2,0,54.0,10.5,2
0,3,1,28.0,0,0,7.8958,1.0,1,1,84.0,7.8958,2
1,2,0,3.0,1,2,41.5792,1.0,4,0,6.0,10.3948,0
1,3,0,19.0,0,0,7.8792,2.0,1,1,57.0,7.8792,2
0,3,1,28.0,0,0,8.05,0.0,1,1,84.0,8.05,2
0,3,1,28.0,1,0,15.5,2.0,2,0,84.0,7.75,2
