Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Family_Size,is_alone,Age_x_Pclass,FarePerPerson,AgeGroup,FamilySize,AgeFareRatio,IsChild,IsRich
0,3,1,22.0,1,0,7.25,0,2,0,66.0,3.625,2,2,2.6666666666666665,0,0
1,1,0,38.0,1,0,71.2833,1,2,0,38.0,35.64165,3,2,0.5257092578783757,0,1
1,3,0,26.0,0,0,7.925,0,1,1,78.0,7.925,2,1,2.9131652661064424,0,0
1,1,0,35.0,1,0,53.1,0,2,0,35.0,26.55,2,2,0.6469500924214417,0,1
0,3,1,35.0,0,0,8.05,0,1,1,105.0,8.05,2,1,3.867403314917127,0,0
0,3,1,28.0,0,0,8.4583,2,1,1,84.0,8.4583,2,1,2.960362855904338,0,0
0,1,1,54.0,0,0,51.8625,0,1,1,54.0,51.8625,3,1,1.0215180893828328,0,1
0,3,1,2.0,3,1,21.075,0,5,0,6.0,4.215,0,5,0.09060022650056626,1,1
1,3,0,27.0,0,2,11.1333,0,3,0,81.0,3.7111,2,3,2.2252808386836227,0,0
1,2,0,14.0,1,0,30.0708,1,2,0,28.0,15.0354,1,2,0.4505838279027254,1,1
1,3,0,4.0,1,1,16.7,0,3,0,12.0,5.566666666666666,0,3,0.22598870056497175,1,1
1,1,0,58.0,0,0,26.55,0,1,1,58.0,26.55,3,1,2.1052631578947367,0,1
0,3,1,20.0,0,0,8.05,0,1,1,60.0,8.05,2,1,2.209944751381215,0,0
0,3,1,39.0,1,5,31.275,0,7,0,117.0,4.4678571428571425,3,7,1.2083656080557708,0,1
0,3,0,14.0,0,0,7.8542,0,1,1,42.0,7.8542,1,1,1.5811705179462856,1,0
1,2,0,55.0,0,0,16.0,0,1,1,110.0,16.0,3,1,3.235294117647059,0,1
0,3,1,2.0,4,1,29.125,2,6,0,6.0,4.854166666666667,0,6,0.06639004149377593,1,1
1,2,1,28.0,0,0,13.0,0,1,1,56.0,13.0,2,1,2.0,0,0
0,3,0,31.0,1,0,18.0,0,2,0,93.0,9.0,2,2,1.631578947368421,0,1
1,3,0,28.0,0,0,7.225,1,1,1,84.0,7.225,2,1,3.404255319148936,0,0
0,2,1,35.0,0,0,26.0,0,1,1,70.0,26.0,2,1,1.2962962962962963,0,1
1,2,1,34.0,0,0,13.0,0,1,1,68.0,13.0,2,1,2.4285714285714284,0,0
1,3,0,15.0,0,0,8.0292,2,1,1,45.0,8.0292,1,1,1.6612767465556197,1,0
1,1,1,28.0,0,0,35.5,0,1,1,28.0,35.5,2,1,0.7671232876712328,0,1
0,3,0,8.0,3,1,21.075,0,5,0,24.0,4.215,0,5,0.36240090600226504,1,1
